,2025-10-21,2025-10-22,2025-10-23,2025-10-24,2025-10-25,2025-10-26,2025-10-27,2025-10-28,2025-10-29,2025-10-30,2025-10-31,2025-11-01,2025-11-02,2025-11-03,2025-11-04,2025-11-05,2025-11-06,2025-11-07,2025-11-08,2025-11-09,2025-11-10,2025-11-11,2025-11-12,2025-11-13,2025-11-14,2025-11-15,2025-11-16,2025-11-17,2025-11-18,2025-11-19,2025-11-20,2025-11-21,2025-11-22,2025-11-23,2025-11-24,2025-11-25,2025-11-26,2025-11-27,2025-11-28,2025-11-29,2025-11-30,2025-12-01,2025-12-02,2025-12-03,2025-12-04,2025-12-05,2025-12-06,2025-12-07,2025-12-08,2025-12-09,2025-12-10,2025-12-11,2025-12-12,2025-12-13,2025-12-14,2025-12-15,2025-12-16,2025-12-17,2025-12-18,2025-12-19,2025-12-20,2025-12-21,2025-12-22,2025-12-23,2025-12-24,2025-12-25,2025-12-26,2025-12-27,2025-12-28,2025-12-29,2025-12-30,2025-12-31,2026-01-01,2026-01-02,2026-01-03,2026-01-04,2026-01-05,2026-01-06
Atlanta Hawks,,976.0,976.0,988.33,968.77,976.0,976.0,958.8,969.56,976.0,991.46,976.0,977.03,976.0,976.0,998.32,976.0,976.0,982.18,1011.66,976.0,1020.15,976.0,1044.92,1055.9,976.0,976.0,1065.53,976.0,1052.97,976.0,1039.05,976.0,1055.31,976.0,976.0,1016.9,976.0,976.0,1032.23,1045.2,976.0,1038.34,976.0,1000.03,976.0,994.11,1002.93,976.0,976.0,976.0,976.0,976.0,983.68,995.24,976.0,976.0,976.0,976.0,978.77,960.33,949.14,976.0,976.0,937.67,976.0,976.0,920.16,915.6,976.0,910.66,951.45,976.0,976.0,977.75,957.48,976.0,939.03
Boston Celtics,,991.2,991.2,976.27,991.2,964.35,991.2,999.22,1025.8,991.2,1035.11,991.2,1004.9,991.2,993.94,991.2,1016.64,991.2,996.21,1007.49,991.2,991.2,998.59,1028.71,991.2,991.2,1036.52,991.2,991.2,1047.23,991.2,991.2,1025.77,1043.22,991.2,991.2,1056.36,991.2,991.2,1044.56,1054.2,991.2,991.2,1069.0,991.2,1083.66,1108.96,1120.04,991.2,991.2,991.2,991.2,1089.65,991.2,991.2,991.2,1078.35,991.2,991.2,991.2,1094.32,1111.22,991.2,1115.81,991.2,991.2,991.2,1122.08,1102.08,991.2,991.2,1111.21,991.2,1116.74,991.2,1140.79,991.2,1149.22
Brooklyn Nets,,976.8,976.8,963.54,976.8,950.57,976.8,922.73,911.97,976.8,976.8,976.8,894.12,976.8,879.14,976.8,896.38,976.8,883.28,862.75,976.8,976.8,853.78,976.8,976.8,846.4,871.42,976.8,976.8,860.71,976.8,976.8,882.17,874.92,976.8,864.9,976.8,976.8,976.8,853.19,836.05,976.8,858.29,976.8,877.07,860.63,880.19,976.8,976.8,976.8,976.8,976.8,976.8,868.93,923.06,976.8,976.8,976.8,976.8,910.82,976.8,936.46,976.8,976.8,955.17,976.8,976.8,976.8,984.67,976.8,968.4,976.8,952.37,976.8,921.28,947.08,976.8,976.8
Charlotte Hornets,,1023.2,1023.2,1023.2,1011.54,1039.12,1023.2,1009.54,1023.2,984.89,1023.2,962.46,990.45,1023.2,1023.2,976.12,1023.2,1023.2,957.24,1023.2,1023.2,944.69,1023.2,965.45,1023.2,949.27,941.34,1023.2,935.02,1023.2,914.75,1023.2,894.18,888.14,1023.2,1023.2,1023.2,871.36,1023.2,909.7,1023.2,1023.2,887.46,1023.2,878.12,1023.2,920.15,912.97,1023.2,1023.2,1023.2,1023.2,1023.2,900.87,920.67,1023.2,1023.2,1023.2,1023.2,937.14,1023.2,923.8,1023.2,911.85,926.91,1023.2,1023.2,954.34,1023.2,1023.2,935.86,926.27,1023.2,1023.2,917.0,936.62,1023.2,987.0
Chicago Bulls,,,1011.2,1011.2,1028.18,1011.2,1011.2,1038.15,1011.2,1053.24,1011.2,1066.76,1011.2,1045.11,1011.2,1054.97,1011.2,1011.2,1031.51,1019.18,1011.2,1009.94,1011.2,996.34,1011.2,1011.2,1011.2,983.72,998.52,1011.2,1006.58,1011.2,975.86,980.3,1011.2,954.19,1011.2,1011.2,1011.2,937.41,925.59,1011.2,919.36,1011.2,900.58,1011.2,877.6,1011.2,855.79,1011.2,1011.2,1011.2,1011.2,867.89,1011.2,850.17,1011.2,1011.2,880.31,1011.2,902.15,913.34,1011.2,1011.2,924.81,1011.2,1011.2,942.23,924.43,1011.2,903.6,1011.2,922.1,1011.2,940.15,920.53,1011.2,912.1
Cleveland Cavaliers,,985.6,985.6,998.86,985.6,1011.98,1036.78,985.6,1010.2,985.6,990.69,985.6,1005.12,985.6,985.6,985.6,1023.82,985.6,1044.25,1056.58,985.6,1047.12,985.6,1067.64,1047.54,1056.33,985.6,985.6,1070.97,985.6,1057.13,985.6,1064.44,1076.84,985.6,1061.29,985.6,985.6,985.6,1045.96,1036.32,985.6,1047.73,985.6,1025.47,985.6,1047.89,1033.94,985.6,985.6,985.6,985.6,985.6,1037.88,1018.08,985.6,985.6,985.6,987.94,985.6,966.1,985.6,985.6,978.05,998.98,992.95,985.6,985.6,977.89,985.6,1004.33,1029.71,985.6,985.6,1044.48,1035.87,985.6,985.6
Dallas Mavericks,,,965.6,965.6,950.34,969.11,965.6,958.28,965.6,967.61,965.6,965.6,952.1,965.6,941.97,965.6,931.36,965.6,912.58,923.23,965.6,916.27,965.6,905.81,965.6,893.84,965.6,909.49,892.74,965.6,887.39,965.6,896.52,884.81,965.6,879.97,965.6,965.6,965.6,872.67,884.44,965.6,910.36,965.6,934.91,965.6,927.74,957.11,965.6,965.6,965.6,965.6,965.6,968.37,965.6,965.6,952.8,965.6,965.6,967.54,965.6,956.46,965.6,941.23,954.86,942.53,965.6,925.53,965.6,965.6,915.0,965.6,965.6,900.05,965.6,920.42,965.6,965.6
Denver Nuggets,,,,987.79,987.79,1012.71,987.79,1030.3,987.79,1056.8,987.79,1046.5,987.79,987.79,1056.59,987.79,1072.13,987.79,1095.41,1106.41,987.79,987.79,1116.64,1126.78,987.79,987.79,1140.58,987.79,1125.78,987.79,1130.38,987.79,1140.83,1120.28,987.79,1128.57,987.79,987.79,987.79,1117.12,1136.43,987.79,1110.51,987.79,1118.01,987.79,1123.93,1131.11,987.79,987.79,987.79,987.79,1141.75,987.79,987.79,987.79,1152.12,987.79,987.79,1166.28,1144.02,987.79,987.79,1155.37,1141.74,987.79,1152.26,987.79,1140.6,987.79,1103.78,987.79,1111.35,987.79,1096.58,1070.78,987.79,1078.82
Detroit Pistons,,,988.8,988.8,1000.08,1012.0,987.2,988.8,1009.0,988.8,988.8,988.8,1024.51,988.8,1036.44,988.8,1049.9,988.8,1063.0,988.8,1072.79,1076.83,988.8,1090.43,988.8,1103.51,988.8,988.8,1110.09,1122.65,988.8,988.8,988.8,1133.42,988.8,1136.94,1123.8,988.8,988.8,1112.58,1123.17,988.8,1130.03,988.8,1112.97,988.8,1120.96,1129.71,988.8,988.8,988.8,988.8,988.8,1148.96,988.8,988.8,1160.26,988.8,988.8,1145.52,988.8,1158.86,988.8,1165.08,1168.9,988.8,988.8,1153.0,988.8,1125.03,988.8,1142.5,988.8,1126.34,988.8,1134.95,988.8,1163.74
Golden State Warriors,,1016.0,1016.0,1028.21,1001.5,1016.0,1016.0,1020.12,1043.43,1016.0,1027.0,1011.33,1016.0,1016.0,1016.0,1027.17,1012.94,1016.0,989.66,1016.0,1013.98,1016.0,995.79,1010.96,1016.0,1021.35,1016.0,1034.46,1016.0,1019.63,1001.93,1016.0,989.43,1016.0,1016.0,1005.85,1016.0,998.91,1016.0,1016.0,1007.22,1016.0,1016.0,999.8,1016.0,990.92,1016.0,1004.87,1026.68,1016.0,1016.0,1016.0,1016.0,1014.99,1016.0,999.28,1016.0,1016.0,1016.0,991.38,1016.0,1003.31,1016.0,1036.02,1016.0,1048.35,1016.0,1016.0,1025.07,1016.0,1041.34,1050.93,1016.0,1016.0,1031.61,1041.93,1016.0,1032.01
Houston Rockets,991.2,991.2,991.2,991.2,979.92,991.2,991.2,1007.76,1027.99,991.2,991.2,991.2,1058.2,991.2,1068.33,991.2,1081.9,991.2,1063.78,1076.21,991.2,991.2,991.2,1086.95,991.2,1109.38,991.2,1118.15,991.2,991.2,1131.99,991.2,1121.54,991.2,991.2,1144.85,991.2,1151.79,991.2,991.2,1163.45,991.2,1139.6,991.2,1148.18,991.2,1166.54,1137.17,991.2,991.2,991.2,991.2,1140.88,991.2,991.2,991.2,1130.51,991.2,991.2,1110.46,1132.72,991.2,1117.53,991.2,1079.97,991.2,1101.59,991.2,1116.65,991.2,1120.08,991.2,1136.11,991.2,991.2,1115.74,991.2,1125.16
Indiana Pacers,,,987.52,987.52,987.52,948.37,987.52,987.52,987.52,939.04,917.14,932.81,987.52,987.52,926.04,987.52,908.8,987.52,987.52,897.8,873.48,987.52,848.94,987.52,830.87,987.52,821.23,987.52,814.65,987.52,834.92,987.52,827.61,987.52,987.52,824.09,987.52,821.11,987.52,855.49,867.31,987.52,855.9,987.52,848.4,987.52,871.38,987.52,987.52,887.73,987.52,987.52,987.52,877.23,846.6,987.52,987.52,987.52,987.52,844.17,987.52,822.57,987.52,817.98,800.38,987.52,987.52,794.11,780.54,987.52,777.11,773.59,987.52,987.52,770.35,764.88,987.52,987.52
LA Clippers,,,975.2,975.2,1007.86,975.2,1021.76,975.2,998.45,975.2,975.2,1005.82,975.2,975.2,997.85,981.07,975.2,962.38,975.2,947.11,975.2,938.62,975.2,928.48,975.2,940.45,932.64,975.2,925.63,975.2,975.2,904.81,925.38,912.98,975.2,975.2,901.02,975.2,975.2,890.32,878.55,975.2,869.47,975.2,907.78,975.2,894.46,889.18,975.2,975.2,975.2,975.2,885.47,975.2,975.2,975.2,868.83,975.2,975.2,864.31,975.2,895.16,975.2,975.2,932.72,975.2,975.2,952.83,975.2,980.8,975.2,1004.47,975.2,1021.71,975.2,997.66,975.2,1007.58
Los Angeles Lakers,,984.0,984.0,984.0,1008.15,984.0,1021.37,1001.08,984.0,1009.34,984.0,1020.84,984.0,1038.47,1053.01,984.0,1062.93,984.0,984.0,1033.45,984.0,1046.0,984.0,1024.01,984.0,1035.66,1061.92,984.0,984.0,1074.34,984.0,984.0,984.0,984.0,1079.7,984.0,1091.66,984.0,984.0,1098.96,984.0,1105.24,1080.21,984.0,984.0,1090.6,1065.3,984.0,1075.11,984.0,984.0,1057.15,984.0,984.0,984.0,1066.39,984.0,984.0,984.0,1075.52,984.0,1044.67,984.0,984.0,1016.38,984.0,994.76,984.0,984.0,1010.67,984.0,993.2,984.0,984.0,1006.42,984.0,1017.89,984.0
Memphis Grizzlies,,,1012.8,1012.8,976.88,1005.74,1012.8,987.12,1012.8,994.84,1012.8,983.34,964.4,1012.8,952.47,1012.8,938.9,1012.8,957.68,946.98,1012.8,1012.8,934.78,904.66,1012.8,895.87,1012.8,1012.8,1012.8,887.42,1012.8,926.1,1012.8,937.81,1012.8,929.52,1012.8,938.86,1012.8,949.56,1012.8,959.83,1012.8,950.87,1012.8,1012.8,964.19,990.86,1012.8,1012.8,1012.8,1012.8,1012.8,976.91,1012.8,1012.8,993.55,1012.8,1009.98,1012.8,1012.8,987.37,1012.8,980.02,992.1,1012.8,1012.8,1010.52,993.9,1012.8,1012.8,983.51,1012.8,1012.8,970.29,1012.8,958.82,1012.8
Miami Heat,,988.8,988.8,988.8,1024.72,1039.31,988.8,1068.89,988.8,988.8,1056.33,988.8,988.8,1038.7,1046.67,988.8,1031.13,988.8,1050.01,1061.64,988.8,1071.1,988.8,1050.58,988.8,1036.34,988.8,988.8,1046.83,988.8,1064.53,988.8,1095.25,1108.53,988.8,1113.37,988.8,1119.0,988.8,988.8,1108.41,988.8,1117.49,988.8,1092.94,988.8,1084.41,1050.56,988.8,1037.5,988.8,988.8,988.8,988.8,988.8,988.8,1019.89,988.8,988.8,1032.13,1016.16,1007.4,988.8,988.8,981.07,988.8,988.8,998.58,1012.15,988.8,1048.97,988.8,988.8,1065.13,1048.92,1059.27,988.8,988.8
Milwaukee Bucks,,,1018.4,1031.41,1018.4,1018.29,1018.4,1018.4,1034.13,1018.4,1050.56,1038.51,1018.4,1018.4,1045.28,1010.27,1018.4,1018.4,1033.73,1021.3,1018.4,1028.26,1018.4,1007.5,1018.4,1023.68,997.42,1018.4,982.78,1018.4,1018.4,969.29,1018.4,958.52,1018.4,941.07,1018.4,935.44,1018.4,925.94,943.08,1018.4,928.29,1018.4,945.35,1018.4,928.78,920.03,1018.4,1018.4,1018.4,1018.4,950.42,1018.4,896.29,1018.4,1018.4,1018.4,1018.4,887.87,1018.4,1018.4,883.06,1018.4,900.66,1018.4,1018.4,882.24,900.04,1018.4,918.52,1018.4,907.66,1018.4,916.93,1018.4,930.72,1018.4
Minnesota Timberwolves,,,1011.2,1011.2,987.05,997.34,1011.2,979.75,1011.2,971.49,1011.2,993.92,1011.2,1011.2,1008.9,1011.2,983.56,1011.2,1020.04,1011.2,1044.13,1052.95,1011.2,1011.2,1011.2,1064.0,1050.2,1011.2,1066.95,1011.2,1072.99,1011.2,1063.99,1011.2,1011.2,1045.44,1011.2,1037.62,1011.2,1049.42,1011.2,1070.72,1011.2,1076.1,1011.2,1081.82,1011.2,1087.1,1011.2,1075.78,1011.2,1011.2,1011.2,1087.47,1011.2,1094.75,1011.2,1011.2,1078.32,1011.2,1096.42,1011.2,1101.23,1011.2,1120.57,1011.2,1110.05,1011.2,1080.55,1011.2,1101.38,1060.59,1011.2,1011.2,1076.8,1090.69,1011.2,1011.2
New Orleans Pelicans,,,987.2,987.2,977.51,987.2,987.2,942.64,987.2,916.14,987.2,908.77,890.84,987.2,987.2,905.17,915.78,987.2,987.2,907.93,987.2,889.03,987.2,879.67,987.2,868.02,987.2,854.91,849.19,987.2,844.59,987.2,835.46,825.24,987.2,851.35,987.2,842.01,987.2,987.2,833.7,827.42,987.2,822.04,987.2,816.32,796.76,987.2,987.2,793.36,987.2,987.2,830.35,987.2,987.2,848.07,987.2,987.2,987.2,868.12,987.2,889.72,987.2,904.95,884.02,987.2,987.2,876.75,869.11,987.2,865.05,987.2,846.55,987.2,832.08,821.73,987.2,987.2
New York Knicks,,1014.4,1014.4,1029.33,1014.4,1014.74,1014.4,1014.4,998.9,1014.4,1014.4,985.38,1014.4,1007.03,1022.9,1014.4,1048.24,1014.4,1014.4,1068.77,1014.4,1014.4,1080.97,1054.36,1014.4,1068.6,1014.4,1014.4,1058.11,1014.4,1063.46,1014.4,1045.67,1014.4,1014.4,1055.69,1014.4,1072.47,1014.4,1081.97,1108.87,1014.4,1014.4,1094.07,1103.41,1014.4,1122.42,1134.85,1014.4,1014.4,1148.82,1014.4,1014.4,1164.61,1014.4,1014.4,1014.4,1014.4,1014.4,1167.04,1145.44,1154.2,1014.4,1014.4,1134.86,1140.89,1014.4,1014.4,1145.45,1014.4,1149.51,1014.4,1139.74,1014.4,1113.44,1092.21,1014.4,1063.42
Oklahoma City Thunder,1008.8,1008.8,1021.28,1008.8,1040.84,1008.8,1008.8,1051.67,1062.05,1008.8,1078.6,1008.8,1096.53,1008.8,1008.8,1113.31,1101.38,1008.8,1122.83,1133.53,1008.8,1008.8,1151.72,1173.71,1008.8,1008.8,1181.64,1008.8,1187.36,1008.8,1192.81,1008.8,1204.46,1008.8,1216.87,1008.8,1008.8,1224.69,1008.8,1231.36,1236.49,1008.8,1008.8,1243.91,1008.8,1008.8,1251.08,1008.8,1259.02,1008.8,1008.8,1282.56,1008.8,1008.8,1268.37,1008.8,1008.8,1008.8,1008.8,1272.89,1254.79,1008.8,1008.8,1262.14,1230.4,1207.39,1008.8,1008.8,1220.86,1008.8,1225.8,1008.8,1235.49,1008.8,1254.81,1008.8,1239.29,1188.91
Orlando Magic,,1011.2,1011.2,998.87,981.89,1011.2,966.24,1011.2,944.44,969.09,1011.2,999.43,1011.2,1011.2,1011.2,978.14,1011.2,1011.2,998.57,987.29,1011.2,998.89,1011.2,1025.5,1011.2,1032.88,1011.2,1024.11,1011.2,1038.94,1011.2,1059.76,1077.55,1060.1,1011.2,1011.2,1096.47,1011.2,1011.2,1107.69,1011.2,1011.2,1113.92,1011.2,1103.72,1011.2,1112.25,1099.82,1011.2,1112.88,1011.2,1011.2,1011.2,1097.09,1011.2,1011.2,1011.2,1011.2,1011.2,1082.93,1011.2,1087.96,1011.2,1055.25,1062.54,1011.2,1011.2,1035.11,1046.77,1011.2,1036.71,1040.23,1011.2,1011.2,1022.18,1027.65,1011.2,1011.2
Philadelphia 76ers,,1008.8,1008.8,1008.8,1020.46,1008.8,1036.11,1045.83,1008.8,1008.8,1036.52,1008.8,1054.37,1008.8,1008.8,1044.51,1025.81,1008.8,1008.8,1042.62,1032.83,1008.8,1041.73,1008.8,1008.8,1028.65,1008.8,1008.8,1035.66,1008.8,1022.02,1035.51,1008.8,1022.23,1008.8,1008.8,985.86,1008.8,1008.8,997.57,984.6,1008.8,1008.8,996.58,1008.8,1005.46,1022.03,1008.8,1012.22,1008.8,1008.8,1008.8,1008.8,1022.72,1011.16,1008.8,1008.8,1008.8,1008.8,1008.8,1032.76,1043.84,1008.8,1008.8,1025.13,1008.8,1008.8,1007.71,994.24,1008.8,1008.8,1004.63,1008.8,1019.58,1008.8,1040.81,1008.8,1032.77
Phoenix Suns,,,1011.2,1011.2,978.54,953.62,1011.2,944.38,1011.2,936.66,1011.2,967.91,1011.2,991.36,1011.2,975.52,1011.2,994.21,1011.2,1009.48,1011.2,1028.38,1011.2,1038.84,1056.91,1011.2,1011.2,1047.28,1011.2,1065.19,1011.2,1011.2,1074.19,1011.2,1090.35,1067.04,1011.2,1075.6,1011.2,1068.93,1049.62,1011.2,1074.65,1011.2,1011.2,1011.2,1056.29,1011.2,1011.2,1067.61,1011.2,1044.07,1011.2,1011.2,1011.2,1034.83,1011.2,1011.2,1011.2,1042.73,1011.2,1030.8,1011.2,1011.2,1059.09,1011.2,1011.2,1066.36,1074.0,1011.2,1082.06,1056.68,1011.2,1011.2,1067.48,1011.2,1083.0,1073.58
Portland Trail Blazers,,,988.8,988.8,1015.51,988.8,1001.61,1021.9,988.8,1031.57,988.8,1041.87,988.8,988.8,1027.33,988.8,1039.26,988.8,988.8,1027.63,988.8,1016.03,988.8,1025.39,988.8,1002.96,988.8,987.31,988.8,969.4,961.34,988.8,973.84,988.8,961.43,978.88,988.8,965.69,988.8,988.8,960.56,988.8,988.8,953.41,975.67,988.8,967.68,941.01,988.8,988.8,988.8,988.8,904.02,988.8,988.8,919.73,988.8,988.8,988.8,926.26,988.8,934.74,988.8,928.52,921.23,988.8,988.8,901.12,921.12,988.8,931.65,988.8,921.96,988.8,936.43,955.15,988.8,975.76
Sacramento Kings,,,988.8,988.8,998.51,988.8,985.29,988.8,974.91,959.82,988.8,971.87,988.8,988.8,961.78,988.8,976.01,988.8,954.56,988.8,930.47,988.8,920.24,895.47,988.8,884.42,874.77,988.8,988.8,988.8,869.32,830.64,988.8,851.19,988.8,869.74,988.8,861.18,988.8,847.15,988.8,836.88,988.8,988.8,828.3,988.8,988.8,862.15,988.8,845.8,988.8,988.8,835.16,988.8,988.8,827.88,988.8,988.8,988.8,821.35,988.8,812.87,828.06,988.8,824.24,988.8,988.8,841.24,988.8,825.33,988.8,801.66,988.8,796.13,785.33,988.8,771.54,988.8
San Antonio Spurs,,,1034.4,1034.4,1044.09,1057.06,1034.4,1075.33,1034.4,1034.4,1087.89,1034.4,1034.4,1064.44,1034.4,1034.4,1054.52,1034.4,1072.64,1080.49,1034.4,1089.73,1034.4,1074.56,1034.4,1064.17,1073.82,1034.4,1034.4,1082.27,1034.4,1096.19,1034.4,1034.4,1080.03,1034.4,1034.4,1093.22,1034.4,1104.67,1034.4,1083.37,1034.4,1092.33,1102.53,1034.4,1080.11,1034.4,1034.4,1083.51,1034.4,1101.47,1034.4,1034.4,1115.66,1034.4,1034.4,1034.4,1034.4,1123.2,1141.64,1034.4,1145.93,1034.4,1177.67,1200.68,1034.4,1034.4,1169.74,1034.4,1143.3,1034.4,1153.07,1034.4,1156.31,1137.59,1034.4,1034.4
Toronto Raptors,,1024.0,1024.0,1010.99,1024.0,992.22,1024.0,973.95,953.72,1024.0,973.23,1024.0,992.17,1024.0,1024.0,1027.18,1024.0,1024.0,1043.32,1026.51,1024.0,1024.0,1035.48,1024.0,1055.58,1024.0,1065.22,1024.0,1071.54,1024.0,1085.18,1024.0,1095.42,1102.67,1024.0,1118.22,1024.0,1121.2,1024.0,1099.64,1072.74,1024.0,1024.0,1079.89,1024.0,1069.5,1027.47,1016.39,1024.0,1024.0,1002.42,1024.0,1024.0,1024.0,1024.0,1024.0,1020.03,1024.0,1024.0,1028.45,1024.0,985.91,1024.0,1024.0,1012.24,1024.0,1024.0,973.35,996.63,1024.0,1006.69,1024.0,999.12,1024.0,1024.0,1019.39,1024.0,1037.84
Utah Jazz,,,1024.8,1024.8,1015.09,1024.8,1024.8,1024.33,1024.8,1014.66,1024.8,983.41,955.42,1024.8,966.38,1024.8,952.92,1024.8,916.44,1024.8,1024.8,907.62,932.16,1024.8,921.18,1024.8,1024.8,933.8,1024.8,921.38,1024.8,1024.8,909.73,1024.8,904.37,887.95,1024.8,1024.8,1024.8,901.98,890.32,1024.8,914.17,1024.8,1024.8,930.61,911.6,1024.8,903.66,1024.8,1024.8,1024.8,1024.8,917.61,1024.8,1024.8,933.18,1024.8,1024.8,924.05,1024.8,919.02,1024.8,907.67,895.59,1024.8,1024.8,911.49,942.43,1024.8,1024.8,933.3,1024.8,916.06,1024.8,905.74,1024.8,885.13
Washington Wizards,,,981.6,981.6,996.86,969.28,981.6,959.56,981.6,981.6,943.01,912.67,981.6,981.6,896.8,981.6,874.1,981.6,853.67,843.02,981.6,838.98,981.6,828.24,981.6,981.6,803.22,981.6,981.6,981.6,797.18,981.6,786.94,782.5,981.6,981.6,820.91,981.6,981.6,786.53,981.6,981.6,801.32,789.34,981.6,774.68,981.6,765.86,981.6,981.6,981.6,981.6,981.6,761.92,792.55,981.6,981.6,981.6,981.6,785.01,981.6,807.62,803.33,981.6,788.27,981.6,981.6,827.16,843.78,981.6,835.72,981.6,846.58,981.6,877.67,863.78,981.6,981.6
