,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
Atlanta Hawks,976.0,988.33,968.77,958.8,969.56,991.46,977.03,998.32,982.18,1011.66,1020.15,1044.92,1055.9,1065.53,1052.97,1039.05,1049.27,1055.31,1016.9,1032.23,1045.2,1038.34,1000.03,994.11,1002.93,983.68,995.24,978.77,960.33,949.14,937.67,920.16,915.6,910.66,951.45,977.75,957.48,939.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,991.2,976.27,964.35,999.22,1025.8,1035.11,1004.9,993.94,1016.64,996.21,1007.49,998.59,1028.71,1036.52,1047.23,1025.77,1043.22,1056.36,1044.56,1054.2,1069.0,1083.66,1108.96,1120.04,1089.65,1078.35,1094.32,1111.22,1115.81,1122.08,1102.08,1111.21,1116.74,1140.79,1149.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,976.8,963.54,950.57,922.73,911.97,894.12,879.14,896.38,883.28,862.75,853.78,846.4,871.42,860.71,882.17,874.92,864.9,853.19,836.05,858.29,877.07,860.63,880.19,868.93,923.06,910.82,936.46,955.17,984.67,968.4,952.37,921.28,947.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Hornets,1023.2,1011.54,1039.12,1009.54,984.89,962.46,990.45,976.12,957.24,944.69,965.45,949.27,941.34,935.02,914.75,894.18,888.14,871.36,888.14,909.7,887.46,878.12,920.15,912.97,900.87,920.67,937.14,923.8,911.85,926.91,954.34,935.86,926.27,917.0,936.62,987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,1011.2,1028.18,1038.15,1053.24,1066.76,1045.11,1054.97,1031.51,1019.18,1009.94,996.34,983.72,998.52,1006.58,975.86,980.3,954.19,937.41,925.59,919.36,900.58,877.6,855.79,867.89,850.17,880.31,902.15,913.34,924.81,942.23,924.43,903.6,922.1,940.15,920.53,912.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,985.6,998.86,1011.98,1036.78,1010.2,990.69,1005.12,1023.82,1044.25,1056.58,1047.12,1067.64,1047.54,1056.33,1070.97,1057.13,1064.44,1076.84,1061.29,1045.96,1036.32,1047.73,1025.47,1047.89,1033.94,1037.88,1018.08,987.94,966.1,978.05,998.98,992.95,977.89,1004.33,1029.71,1044.48,1035.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Mavericks,965.6,950.34,969.11,958.28,967.61,952.1,941.97,931.36,912.58,923.23,916.27,905.81,893.84,909.49,892.74,887.39,896.52,884.81,879.97,872.67,884.44,910.36,934.91,927.74,957.11,968.37,952.8,967.54,956.46,941.23,954.86,942.53,925.53,915.0,900.05,920.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Nuggets,987.79,1012.71,1030.3,1056.8,1046.5,1056.59,1072.13,1095.41,1106.41,1116.64,1126.78,1140.58,1125.78,1130.38,1140.83,1120.28,1128.57,1117.12,1136.43,1110.51,1118.01,1123.93,1131.11,1141.75,1152.12,1166.28,1144.02,1155.37,1141.74,1152.26,1140.6,1103.78,1111.35,1096.58,1070.78,1078.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,988.8,1000.08,1012.0,987.2,1009.0,1024.51,1036.44,1049.9,1063.0,1072.79,1076.83,1090.43,1103.51,1110.09,1122.65,1133.42,1136.94,1123.8,1112.58,1123.17,1130.03,1112.97,1120.96,1129.71,1148.96,1160.26,1145.52,1158.86,1165.08,1168.9,1153.0,1125.03,1142.5,1126.34,1134.95,1163.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden State Warriors,1016.0,1028.21,1001.5,1020.12,1043.43,1027.0,1011.33,1027.17,1012.94,989.66,1013.98,995.79,1010.96,1021.35,1034.46,1019.63,1001.93,989.43,1005.85,998.91,1007.22,999.8,990.92,1004.87,1026.68,1014.99,999.28,991.38,1003.31,1036.02,1048.35,1025.07,1041.34,1050.93,1031.61,1041.93,1032.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Rockets,991.2,979.92,1007.76,1027.99,1058.2,1068.33,1081.9,1063.78,1076.21,1086.95,1109.38,1118.15,1131.99,1121.54,1144.85,1151.79,1163.45,1139.6,1148.18,1166.54,1137.17,1140.88,1130.51,1110.46,1132.72,1117.53,1079.97,1101.59,1116.65,1120.08,1136.11,1115.74,1125.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers,987.52,958.66,948.37,939.04,917.14,932.81,926.04,908.8,897.8,873.48,848.94,830.87,821.23,814.65,834.92,827.61,824.09,821.11,855.49,867.31,855.9,848.4,871.38,887.73,877.23,846.6,844.17,822.57,817.98,800.38,794.11,780.54,777.11,773.59,770.35,764.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA Clippers,975.2,1007.86,1021.76,998.45,1005.82,997.85,981.07,962.38,947.11,938.62,928.48,940.45,932.64,925.63,904.81,925.38,912.98,901.02,890.32,878.55,869.47,907.78,894.46,889.18,885.47,868.83,864.31,895.16,932.72,952.83,980.8,1004.47,1021.71,997.66,1007.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,984.0,1008.15,1021.37,1001.08,1009.34,1020.84,1038.47,1053.01,1062.93,1033.45,1046.0,1024.01,1035.66,1061.92,1074.34,1079.7,1091.66,1098.96,1105.24,1080.21,1090.6,1065.3,1075.11,1057.15,1066.39,1075.52,1044.67,1016.38,994.76,1010.67,993.2,1006.42,1017.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memphis Grizzlies,1012.8,976.88,1005.74,987.12,994.84,983.34,964.4,952.47,938.9,957.68,946.98,934.78,904.66,895.87,887.42,926.1,937.81,929.52,938.86,949.56,959.83,950.87,964.19,990.86,976.91,993.55,1009.98,987.37,980.02,992.1,1010.52,993.9,983.51,970.29,958.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami Heat,988.8,1024.72,1039.31,1068.89,1056.33,1038.7,1046.67,1031.13,1050.01,1061.64,1071.1,1050.58,1036.34,1046.83,1064.53,1095.25,1108.53,1113.37,1119.0,1108.41,1117.49,1092.94,1084.41,1050.56,1037.5,1019.89,1032.13,1016.16,1007.4,981.07,998.58,1012.15,1048.97,1065.13,1048.92,1059.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,1018.4,1031.41,1018.29,1034.13,1050.56,1038.51,1045.28,1010.27,1033.73,1021.3,1028.26,1007.5,1023.68,997.42,982.78,969.29,958.52,941.07,935.44,925.94,943.08,928.29,945.35,928.78,920.03,950.42,896.29,887.87,883.06,900.66,882.24,900.04,918.52,907.66,916.93,930.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,1011.2,987.05,997.34,979.75,971.49,993.92,1008.9,983.56,1020.04,1044.13,1052.95,1064.0,1050.2,1066.95,1072.99,1063.99,1045.44,1037.62,1049.42,1070.72,1076.1,1081.82,1087.1,1075.78,1087.47,1094.75,1078.32,1096.42,1101.23,1120.57,1110.05,1080.55,1101.38,1060.59,1076.8,1090.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans,987.2,977.51,942.64,916.14,908.77,890.84,905.17,915.78,907.93,889.03,879.67,868.02,854.91,849.19,844.59,835.46,825.24,851.35,842.01,833.7,827.42,822.04,816.32,796.76,793.36,830.35,848.07,868.12,889.72,904.95,884.02,876.75,869.11,865.05,846.55,832.08,821.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Knicks,1014.4,1029.33,1014.74,998.9,985.38,1007.03,1022.9,1048.24,1068.77,1080.97,1054.36,1068.6,1058.11,1063.46,1045.67,1055.69,1072.47,1081.97,1108.87,1094.07,1103.41,1122.42,1134.85,1148.82,1164.61,1167.04,1145.44,1154.2,1134.86,1140.89,1145.45,1149.51,1139.74,1113.44,1092.21,1063.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,1008.8,1021.28,1040.84,1051.67,1062.05,1078.6,1096.53,1113.31,1101.38,1122.83,1133.53,1151.72,1173.71,1181.64,1187.36,1192.81,1204.46,1216.87,1224.69,1231.36,1236.49,1243.91,1251.08,1259.02,1282.56,1268.37,1272.89,1254.79,1262.14,1230.4,1207.39,1220.86,1225.8,1235.49,1254.81,1239.29,1188.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orlando Magic,1011.2,998.87,981.89,966.24,944.44,969.09,999.43,978.14,998.57,987.29,998.89,1025.5,1032.88,1024.11,1038.94,1059.76,1077.55,1060.1,1096.47,1107.69,1113.92,1103.72,1112.25,1099.82,1112.88,1097.09,1082.93,1087.96,1055.25,1062.54,1035.11,1046.77,1036.71,1040.23,1022.18,1027.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,1008.8,1020.46,1036.11,1045.83,1036.52,1054.37,1044.51,1025.81,1042.62,1032.83,1041.73,1028.65,1035.66,1022.02,1035.51,1022.23,985.86,997.57,984.6,996.58,1005.46,1022.03,1012.22,1022.72,1011.16,1032.76,1043.84,1025.13,1007.71,994.24,1004.63,1019.58,1040.81,1032.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix Suns,1011.2,978.54,953.62,944.38,936.66,967.91,991.36,975.52,994.21,1009.48,1028.38,1038.84,1056.91,1047.28,1065.19,1074.19,1090.35,1067.04,1075.6,1068.93,1049.62,1074.65,1056.29,1067.61,1044.07,1034.83,1042.73,1030.8,1059.09,1066.36,1074.0,1082.06,1056.68,1067.48,1083.0,1073.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland Trail Blazers,988.8,1015.51,1001.61,1021.9,1031.57,1041.87,1027.33,1039.26,1027.63,1016.03,1025.39,1002.96,987.31,969.4,961.34,973.84,961.43,978.88,965.69,960.56,953.41,975.67,967.68,941.01,904.02,919.73,926.26,934.74,928.52,921.23,901.12,921.12,931.65,921.96,936.43,955.15,975.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento Kings,988.8,998.51,985.29,974.91,959.82,971.87,961.78,976.01,954.56,930.47,920.24,895.47,884.42,874.77,869.32,830.64,851.19,869.74,861.18,847.15,836.88,828.3,862.15,845.8,835.16,827.88,821.35,812.87,828.06,824.24,841.24,825.33,801.66,796.13,785.33,771.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,1034.4,1044.09,1057.06,1075.33,1087.89,1064.44,1054.52,1072.64,1080.49,1089.73,1074.56,1064.17,1073.82,1082.27,1096.19,1080.03,1093.22,1104.67,1083.37,1092.33,1102.53,1080.11,1083.51,1101.47,1115.66,1123.2,1141.64,1145.93,1177.67,1200.68,1169.74,1143.3,1153.07,1156.31,1137.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Raptors,1024.0,1010.99,992.22,973.95,953.72,973.23,992.17,1027.18,1043.32,1026.51,1035.48,1055.58,1065.22,1071.54,1085.18,1095.42,1102.67,1118.22,1121.2,1099.64,1072.74,1079.89,1069.5,1027.47,1016.39,1002.42,1020.03,1028.45,1011.55,985.91,1012.24,973.35,996.63,1006.69,999.12,1019.39,1037.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Jazz,1024.8,1015.09,1024.33,1014.66,983.41,955.42,966.38,952.92,916.44,907.62,932.16,921.18,933.8,921.38,909.73,904.37,887.95,901.98,890.32,914.17,930.61,911.6,903.66,917.61,933.18,924.05,919.02,907.67,895.59,911.49,942.43,933.3,916.06,905.74,885.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington Wizards,981.6,996.86,969.28,959.56,943.01,912.67,896.8,874.1,853.67,843.02,838.98,828.24,803.22,797.18,786.94,782.5,820.91,786.53,801.32,789.34,774.68,765.86,761.92,792.55,785.01,807.62,803.33,788.27,827.16,843.78,835.72,846.58,877.67,863.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
